userId,startedAt,endedAt,sessionStartLat,sessionStartLong
Rc+9L0XrXL/pKIHtYHICWKAGD2mWzqzPwemMwn7/vlc=,2019-05-01 16:24:46.199 UTC,2019-05-01 16:28:01.886001 UTC,37.7715,-122.4383
RYf5V99zHji6saVGCzV/k1G6rfe4TbDmcgP4PMat7U8=,2019-05-01 16:24:52.676 UTC,2019-05-01 16:41:58.559 UTC,37.782,-122.3923
I1q53BnxO052UV6XP/NK6QdetqaW2/c3hlreB1fBRM4=,2019-05-01 16:32:59.014 UTC,2019-05-01 16:34:19.421 UTC,37.3354,-121.895
FYlC8llbuM+OVONkXN0AGZL2EzDhSlwsUXTFLPefc9k=,2019-05-01 16:33:50.233 UTC,2019-05-01 17:03:12.945 UTC,37.7894,-122.3984
MuEY2MX9Pbvgyq9An970TWDU2L3R0UNKYlKVhzW2v+Y=,2019-05-01 16:34:48.346 UTC,2019-05-01 17:14:58.184 UTC,37.7787,-122.3929
poxoDwj6Iimpom4GGTd2I8hrMgIP60U3mkBosMC4fOU=,2019-05-01 16:41:00.696 UTC,2019-05-01 16:41:23.259 UTC,37.7689,-122.3882
HZPYYCMYNnY2WDZnArUnCdTv8NHcttfhiUjHO3a/eb4=,2019-05-01 16:43:20.722 UTC,2019-05-01 16:45:29.544 UTC,37.7838,-122.4159
KGiExUxzJchWXv0R4iGqUAcGFNu0OwhDdIZuA2KkkDg=,2019-05-01 16:48:48.674 UTC,2019-05-01 18:21:58.973001 UTC,37.771,-122.4128
Wczgd4SAwqvYcnHhc3gZvTVlNulYciq+A0A6nX9guK4=,2019-05-01 16:54:03.529 UTC,2019-05-01 17:51:06.646018 UTC,37.784,-122.4005
by3oP2sI02PxvufDhu6L9FfoSDehFKGI4GMUS/ALkHs=,2019-05-01 16:56:44.992 UTC,2019-05-01 17:27:14.941001 UTC,37.805,-122.432
eQDy6CCWV9VR997FQ/qnuPYl7wEW9Jf9hBWDZS9Kh4U=,2019-05-01 16:57:52.381 UTC,2019-05-01 17:05:43.871010 UTC,37.7731,-122.2583
Ashoy8IlCpkRvPkE/Nc2IqUJwffBlEumGRydPfVGP1A=,2019-05-01 16:58:36.744 UTC,2019-05-01 17:15:11.400010 UTC,37.777,-122.4189
LFlU9S3THc0Sc0YCvRA1hNSs77jwmGa88AGX3MrxWCE=,2019-05-01 16:58:40.157 UTC,2019-05-01 17:06:52.204 UTC,37.7839,-122.3897
RFSWHmbMLZVBs/Ry9huwvouDhjU9sJewxZYhVXwQuNE=,2019-05-01 16:59:39.349 UTC,2019-05-01 17:17:33.426002 UTC,37.7777,-122.4167
6wZf4/NGK6akX2O5zQz/Kv3LEOjkLNAP9MzDpYEDyrU=,2019-05-01 16:59:41.863 UTC,2019-05-01 17:05:18.176 UTC,37.7658,-122.4075
6WqhvtvIT5smoZusqz0J6aIY69/toIH2bY9AEkr3h9A=,2019-05-01 17:02:06.342 UTC,2019-05-01 17:07:53.101 UTC,37.7827,-122.3931
G3bdC1b7qMShUKXHOt22QuRNw7DFQyGcZIfKBXMeJjg=,2019-05-01 17:02:28.841 UTC,2019-05-01 17:08:13.578 UTC,37.7892,-122.4019
CLKmHOAptOzTHxYihNp7mapdQYipRnHC0sl7sa8yb04=,2019-05-01 17:04:06.243 UTC,2019-05-01 17:16:00.926 UTC,37.8084,-122.414
aG+rMglZ+rPf2xj+Talmw0GRVbWX/sZkorZtIUf/uQo=,2019-05-01 17:04:28.005 UTC,2019-05-01 17:19:01.877 UTC,37.7858,-122.4056
3b0a5iSZpZdKQTNs1bkVtUwG5qIk0LrInvomQuHPgPg=,2019-05-01 17:07:17.252 UTC,2019-05-01 17:29:14.295 UTC,37.7716,-122.405
b0zdVEJ+ThUOef2Rnh0CZxalHDyHvZsVJMlSznFWeIU=,2019-05-01 17:08:48.853 UTC,2019-05-01 17:09:21.903 UTC,37.7951,-122.3948
YyA1qUteAB4vgNgdUleJ56CWtB8X9eM6Uae/j1gMM0U=,2019-05-01 17:13:53.403 UTC,2019-05-01 17:14:02.534001 UTC,37.7896,-122.4238
CJ0H8S+Wvnc6mJw9NZpJ1WEFspZUcjHE0SzWR9pWRzU=,2019-05-01 17:16:23.204 UTC,2019-05-01 17:31:58.535 UTC,37.7746,-122.4651
CnpdLWR0FCcvXdfsz2z4tq5usDNxqUHvOYrIMAM4+E4=,2019-05-01 17:26:38.664 UTC,2019-05-01 17:26:47.137002 UTC,37.8074,-122.4219
jHh1Lh97lS2lvS84zN2OTn9fodnUrelVsau5PHeepOo=,2019-05-01 17:26:50.598 UTC,2019-05-01 18:20:00.784007 UTC,37.7937,-122.3989
Cm5CPs4UA65rMexVVw15uKIdHjvWkn0nUrVqu2TKbIg=,2019-05-01 17:29:41.084 UTC,2019-05-01 17:30:47.399 UTC,37.7849,-122.4006
iu/A+0EYTbyrTUt47IAOkxS4h9hRyQmZ7Lm3fdzS0Xg=,2019-05-01 17:40:20.937 UTC,2019-05-01 17:59:50.582 UTC,37.8085,-122.4135
I19pi9g5kNdg9JXpWQTMDvD3A32FQEf9qOW/Hp03Q78=,2019-05-01 17:47:27.837 UTC,2019-05-01 17:58:46.199 UTC,37.7782,-122.3936
eTM2ba3belSujyUFgXAjlTee/cbUReqVwUDsbOMoPf4=,2019-05-01 17:48:23.895 UTC,2019-05-01 17:50:02.038 UTC,37.7954,-122.3935
CLKmHOAptOzTHxYihNp7mapdQYipRnHC0sl7sa8yb04=,2019-05-01 17:50:08.912 UTC,2019-05-01 18:09:18.437003 UTC,37.8085,-122.4107
BH0fH4jJYJyPgZYTCldZFFVddLph4KfUkt+xsf3UhQU=,2019-05-01 17:51:12.099 UTC,2019-05-01 18:05:46.448 UTC,37.7946,-122.391
LzDvdjbP+jVsUsiK6DFlxk3gVFEGxvrQkDmiTJDlmxw=,2019-05-01 17:54:18.276 UTC,2019-05-01 18:43:35.387 UTC,37.749,-122.4227
z0fVe0Je/63Ytd9WN2NHkZdPksz5qqOAkw11gPZNA44=,2019-05-01 17:57:48.866 UTC,2019-05-01 17:57:51.112001 UTC,37.768,-122.3883
2A4YveHHh2VfAFAfv+pmHe2u8BIqptMAYXkyWAuiXSY=,2019-05-01 17:58:51.844 UTC,2019-05-01 18:51:45.825002 UTC,37.7682,-122.3952
