userId,startedAt,endedAt,startedLocationLat,startedLocationLong,endedLocationLat,endedLocationLong
VNalW5pPUlPm2tKzQpK9yo/dqt61tQyU5+nNwyqPq60=,2019-05-01 16:06:01.392 UTC,2019-05-01 16:08:27.473 UTC,37.7929,-122.394,37.7896,-122.3903
/7FwluSzw2D3aEUtoL558dwQRb998JmfihqIoEjrolw=,2019-05-01 16:07:50.621 UTC,2019-05-01 16:16:41.200 UTC,37.8024,-122.4167,37.7912,-122.3992
MMCqC+E1N/GRi3tRvm+wOcYS8tKsCu0A6ck2lQzpiDk=,2019-05-01 16:11:56.709 UTC,2019-05-01 16:25:05.797 UTC,37.7704,-122.4041,37.7897,-122.3918
ixYrCCB+cPViJ4cJ28JjiB/nogx3QQfb3HjUzzk6BdU=,2019-05-01 16:18:46.458 UTC,2019-05-01 16:37:25.171 UTC,37.7641,-122.3944,37.796,-122.4052
J1vgkju+CMIOP8kOz3eZrw6cPDpz7L0mw/T5ieKW5ns=,2019-05-01 16:20:33.989 UTC,2019-05-01 16:30:15.389 UTC,37.7772,-122.4191,37.7924,-122.4043
IszkwHIoc89FsxBCBnQepUmDZlYGtoi3E7DFXt3/HB0=,2019-05-01 16:20:37.624 UTC,2019-05-01 16:27:55.843 UTC,37.7864,-122.4334,37.7884,-122.423
7s7j+ZoEv0ixmKhavFTjgk6Y7lwmK+gVhuvtLePItmE=,2019-05-01 16:22:18.956 UTC,2019-05-01 16:38:12.182 UTC,37.8059,-122.4198,37.7799,-122.3891
3zgBzHbt9HGblTuxuvq/QNBq7HmEMN9vcfFe9/93BDI=,2019-05-01 16:24:17.765 UTC,2019-05-01 16:35:35.443 UTC,37.7773,-122.3925,37.7909,-122.3968
RYf5V99zHji6saVGCzV/k1G6rfe4TbDmcgP4PMat7U8=,2019-05-01 16:31:44.375 UTC,2019-05-01 16:41:52.532 UTC,37.7656,-122.4046,37.7815,-122.3925
b0zdVEJ+ThUOef2Rnh0CZxalHDyHvZsVJMlSznFWeIU=,2019-05-01 16:35:53.788 UTC,2019-05-01 17:09:16.372 UTC,37.8045,-122.4333,37.7949,-122.3946
z0fVe0Je/63Ytd9WN2NHkZdPksz5qqOAkw11gPZNA44=,2019-05-01 16:37:39.582 UTC,2019-05-01 16:41:01.715 UTC,37.7736,-122.3878,37.7689,-122.3879
2A4YveHHh2VfAFAfv+pmHe2u8BIqptMAYXkyWAuiXSY=,2019-05-01 16:51:13.243 UTC,2019-05-01 17:03:29.037 UTC,37.7853,-122.4067,37.7683,-122.3947
KGiExUxzJchWXv0R4iGqUAcGFNu0OwhDdIZuA2KkkDg=,2019-05-01 16:52:14.277 UTC,2019-05-01 17:00:03.445 UTC,37.7771,-122.4165,37.7859,-122.4218
by3oP2sI02PxvufDhu6L9FfoSDehFKGI4GMUS/ALkHs=,2019-05-01 16:57:02.419 UTC,2019-05-01 16:58:27.686 UTC,37.7933,-122.3971,37.7933,-122.3968
FYlC8llbuM+OVONkXN0AGZL2EzDhSlwsUXTFLPefc9k=,2019-05-01 17:00:19.680 UTC,2019-05-01 17:02:21.047 UTC,37.7896,-122.3931,37.789,-122.3955
eQDy6CCWV9VR997FQ/qnuPYl7wEW9Jf9hBWDZS9Kh4U=,2019-05-01 17:00:21.597 UTC,2019-05-01 17:05:34.791 UTC,37.7937,-122.3953,37.8012,-122.3987
LFlU9S3THc0Sc0YCvRA1hNSs77jwmGa88AGX3MrxWCE=,2019-05-01 17:01:09.097 UTC,2019-05-01 17:06:46.975 UTC,37.7889,-122.4024,37.7945,-122.3953
MuEY2MX9Pbvgyq9An970TWDU2L3R0UNKYlKVhzW2v+Y=,2019-05-01 17:01:36.908 UTC,2019-05-01 17:13:52.088 UTC,37.7794,-122.3919,37.8049,-122.4044
6WqhvtvIT5smoZusqz0J6aIY69/toIH2bY9AEkr3h9A=,2019-05-01 17:02:11.425 UTC,2019-05-01 17:07:45.410 UTC,37.7903,-122.4002,37.7828,-122.3933
Ashoy8IlCpkRvPkE/Nc2IqUJwffBlEumGRydPfVGP1A=,2019-05-01 17:02:38.656 UTC,2019-05-01 17:14:45.238 UTC,37.7759,-122.4172,37.7777,-122.392
G3bdC1b7qMShUKXHOt22QuRNw7DFQyGcZIfKBXMeJjg=,2019-05-01 17:03:55.594 UTC,2019-05-01 17:07:54.276 UTC,37.7893,-122.4021,37.795,-122.4028
CLKmHOAptOzTHxYihNp7mapdQYipRnHC0sl7sa8yb04=,2019-05-01 17:04:14.652 UTC,2019-05-01 17:15:54.954 UTC,37.8085,-122.4141,37.8085,-122.4108
